Event	ID	Name			Wwise Object Path	Notes
	38329876	Play_DeepSeekDoorOpen			\Default Work Unit\Lift\Play_DeepSeekDoorOpen	
	200791458	Play_DeepSeekImpact			\Default Work Unit\Lift\Play_DeepSeekImpact	
	287033506	Play_OxygentankPickup			\Default Work Unit\Play_OxygentankPickup	
	468325319	Play_ORC_stop			\Default Work Unit\ORC\Play_ORC_stop	
	525953352	Play_LandingSound			\Default Work Unit\Play_LandingSound	
	655760415	Play_Underwater_Ambience_B			\Default Work Unit\Play_Underwater_Ambience_B	
	803189924	Play_Footsteps_Deepseek			\Default Work Unit\Footsteps\Play_Footsteps_Deepseek	
	1134978873	Play_A_Desperate_Prayer			\Default Work Unit\MainMenu\Play_A_Desperate_Prayer	
	1136330962	Play_ORC_startAndLoop			\Default Work Unit\ORC\Play_ORC_startAndLoop	
	1254934981	Play_Underwater_sound			\Default Work Unit\MainMenu\Play_Underwater_sound	
	1371788995	Play_BreathWalk			\Default Work Unit\DiverVoice\Play_BreathWalk	
	1487838551	Play_JumpVoic			\Default Work Unit\DiverVoice\Play_JumpVoic	
	1983061245	Play_DeepSeekAmbientWithChords			\Default Work Unit\Lift\Play_DeepSeekAmbientWithChords	
	2033887548	Play_Monster_sound			\Default Work Unit\Monster\Play_Monster_sound	
	2578586511	Stop_A_Desperate_Prayer			\Default Work Unit\MainMenu\Stop_A_Desperate_Prayer	
	2855285393	Play_HitV			\Default Work Unit\DiverVoice\Play_HitV	
	3019832752	Enable_State_GameMusic			\Default Work Unit\Enable_State_GameMusic	
	3193711535	Play_MOnsterHit			\Default Work Unit\Monster\Play_MOnsterHit	
	3278961248	Play_DeepSeekDoorSlamNoAudio			\Default Work Unit\Lift\Play_DeepSeekDoorSlamNoAudio	
	3396608295	Play_KeyboardClick			\Default Work Unit\MainMenu\Play_KeyboardClick	
	3434920404	Play_DeepSeekSoundWhirrAmbi			\Default Work Unit\Lift\Play_DeepSeekSoundWhirrAmbi	
	3514501978	Play_DeepSeekSoundDoorSlam			\Default Work Unit\Lift\Play_DeepSeekSoundDoorSlam	
	3718507185	AmbientDoorClose			\Default Work Unit\Lift\AmbientDoorClose	
	3908227708	Play_Breathing_running			\Default Work Unit\DiverVoice\Play_Breathing_running	
	4235708025	StationHandle			\Default Work Unit\StationAudio\StationHandle	
	4271838925	Play_PickupScaleSound			\Default Work Unit\Play_PickupScaleSound	

Effect plug-ins	ID	Name	Type				Notes
	1008402193	Low_Pass_20KHz	Wwise Parametric EQ			
	2995775460	Room_Small	Wwise RoomVerb			
	3407225994	Phone_Booth	Wwise RoomVerb			
	3435419520	New_Guitar_Distortion	Wwise Guitar Distortion			
	3604890626	High_Pass_60Hz	Wwise Parametric EQ			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	48094280	Footsteps Deepseek 3-universfield-heavy-walking-footsteps-352771	.cache\EE\{EEC85EBA-3DE6-0AEC-B284-AE3254C4D9CC}.wem		\Containers\Default Work Unit\Footsteps Deepseek\Footsteps Deepseek 3-universfield-heavy-walking-footsteps-352771		135628
	98165099	Footsteps Deepseek 1-universfield-heavy-walking-footsteps-352771	.cache\27\{2778AE1B-A91F-9065-3D26-6CCDAD50F080}.wem		\Containers\Default Work Unit\LandingSound\Footsteps Deepseek 1-universfield-heavy-walking-footsteps-352771		135628
	119132395	DeepSeekImpact	.cache\43\{43C3037C-56C4-796A-E4A2-836DDADB080D}.wem		\Containers\Default Work Unit\Lift\DeepSeekImpact		897356
	167899123	ORC stop	.cache\2E\{2E9E1A2F-79DD-C53B-7DF3-3BD382DC3A0B}.wem		\Containers\Default Work Unit\ORC\ORC stop		380924
	199048475	Breathing walk_01	.cache\52\{52B420DC-E22B-C642-281B-34AF787D7075}.wem		\Containers\Default Work Unit\DiverVoice\Breathing\BreathWalk\Breathing walk_01		444796
	199357808	JumpVoice_01	.cache\C4\{C428703C-5717-F395-242C-215D0236CE84}.wem		\Containers\Default Work Unit\DiverVoice\JumpVoic\JumpVoice_01		82152
	228257008	BreathingRun_02	.cache\34\{340F0755-8351-84A5-D5F5-E55BD6C9C07B}.wem		\Containers\Default Work Unit\DiverVoice\Breathing\Breathing running\BreathingRun_02		251620
	230561535	virtualzero-mechanical-keyboard-typing-hd-372290_04	.cache\8D\{8D1F18D9-0EC7-FADF-3E15-511DF2851DDF}.wem		\Containers\Default Work Unit\MainMenu\KeyboardClick\virtualzero-mechanical-keyboard-typing-hd-372290_04		20604
	237568392	OxygentankPickup	.cache\E3\{E3E42B78-C71D-A216-C2E7-CD67652144A3}.wem		\Containers\Default Work Unit\OxygentankPickup		77516
	259429331	BreathingRun_06	.cache\4D\{4D07B5FA-46D7-9CCF-5620-2D116EF3DF94}.wem		\Containers\Default Work Unit\DiverVoice\Breathing\Breathing running\BreathingRun_06		251620
